X1,Y1,Frames,ONX1,ONY1,Frames2
41.816,342.3,589,NaN,NaN,589
41.816,342.3,590,NaN,NaN,590
41.816,342.3,591,NaN,NaN,591
41.816,342.3,592,NaN,NaN,592
41.816,342.3,593,NaN,NaN,593
41.816,342.3,594,NaN,NaN,594
41.816,342.3,595,NaN,NaN,595
41.816,342.3,596,NaN,NaN,596
41.816,342.3,597,NaN,NaN,597
41.816,342.3,598,NaN,NaN,598
41.816,342.3,599,NaN,NaN,599
41.816,342.3,600,NaN,NaN,600
41.779,342.3,601,NaN,NaN,601
41.779,342.3,602,NaN,NaN,602
41.779,342.3,603,NaN,NaN,603
41.779,342.3,604,NaN,NaN,604
41.779,342.3,605,NaN,NaN,605
41.779,342.3,606,NaN,NaN,606
41.779,342.3,607,NaN,NaN,607
41.779,342.3,608,NaN,NaN,608
41.779,342.3,609,NaN,NaN,609
41.779,342.3,610,NaN,NaN,610
41.779,342.3,611,NaN,NaN,611
41.779,342.3,612,NaN,NaN,612
41.779,342.3,613,NaN,NaN,613
41.779,342.3,614,NaN,NaN,614
41.779,342.3,615,NaN,NaN,615
41.779,342.3,616,NaN,NaN,616
41.779,342.3,617,NaN,NaN,617
41.779,342.3,618,NaN,NaN,618
41.779,342.3,619,NaN,NaN,619
41.779,342.3,620,NaN,NaN,620
41.779,342.3,621,NaN,NaN,621
41.779,342.3,622,NaN,NaN,622
41.779,342.3,623,NaN,NaN,623
41.779,342.3,624,NaN,NaN,624
41.779,342.3,625,NaN,NaN,625
41.779,342.3,626,NaN,NaN,626
41.779,342.3,627,NaN,NaN,627
41.779,342.3,628,NaN,NaN,628
41.779,342.3,629,NaN,NaN,629
41.779,342.3,630,NaN,NaN,630
41.779,342.3,631,NaN,NaN,631
41.779,342.3,632,NaN,NaN,632
41.779,342.3,633,NaN,NaN,633
41.779,342.3,634,NaN,NaN,634
41.779,342.3,635,NaN,NaN,635
41.779,342.3,636,NaN,NaN,636
41.779,342.3,637,NaN,NaN,637
41.803,342.43,638,NaN,NaN,638
41.84,342.57,639,NaN,NaN,639
41.84,342.57,640,NaN,NaN,640
41.84,342.57,641,NaN,NaN,641
41.84,342.57,642,NaN,NaN,642
41.84,342.57,643,NaN,NaN,643
41.84,342.57,644,NaN,NaN,644
41.84,342.57,645,NaN,NaN,645
41.84,342.57,646,NaN,NaN,646
41.84,342.57,647,NaN,NaN,647
41.84,342.57,648,NaN,NaN,648
41.84,342.57,649,NaN,NaN,649
41.84,342.57,650,NaN,NaN,650
41.84,342.57,651,NaN,NaN,651
41.84,342.57,652,NaN,NaN,652
41.84,342.57,653,NaN,NaN,653
41.84,342.57,654,NaN,NaN,654
41.84,342.57,655,NaN,NaN,655
41.84,342.57,656,NaN,NaN,656
41.84,342.57,657,NaN,NaN,657
41.84,342.57,658,NaN,NaN,658
41.84,342.57,659,NaN,NaN,659
41.84,342.57,660,NaN,NaN,660
41.84,342.57,661,NaN,NaN,661
41.84,342.57,662,NaN,NaN,662
41.84,342.57,663,NaN,NaN,663
41.84,342.57,664,NaN,NaN,664
41.84,342.57,665,NaN,NaN,665
41.84,342.57,666,NaN,NaN,666
41.84,342.57,667,NaN,NaN,667
41.84,342.57,668,NaN,NaN,668
41.803,342.43,669,NaN,NaN,669
41.803,342.43,670,NaN,NaN,670
41.803,342.43,671,NaN,NaN,671
41.803,342.43,672,NaN,NaN,672
41.803,342.43,673,NaN,NaN,673
41.803,342.43,674,NaN,NaN,674
41.803,342.43,675,NaN,NaN,675
41.803,342.43,676,NaN,NaN,676
41.803,342.43,677,NaN,NaN,677
41.803,342.43,678,NaN,NaN,678
41.803,342.43,679,NaN,NaN,679
41.803,342.43,680,NaN,NaN,680
41.803,342.43,681,NaN,NaN,681
41.803,342.43,682,NaN,NaN,682
41.803,342.43,683,NaN,NaN,683
41.803,342.43,684,NaN,NaN,684
41.803,342.43,685,NaN,NaN,685
41.803,342.43,686,NaN,NaN,686
41.803,342.43,687,NaN,NaN,687
41.803,342.43,688,NaN,NaN,688
41.803,342.43,689,NaN,NaN,689
41.803,342.43,690,NaN,NaN,690
41.803,342.43,691,NaN,NaN,691
41.803,342.43,692,NaN,NaN,692
41.803,342.43,693,NaN,NaN,693
41.803,342.43,694,NaN,NaN,694
41.803,342.43,695,NaN,NaN,695
41.803,342.43,696,NaN,NaN,696
